alpha,gamma,alternation,best_block,envelope,active_m,is_envelope_minimum
256,4.655000000000000249e-01,8.431831190990064086e-36,2.318407296268273611e+06,2.318407296268273611e+06,10,0
256,4.656666666666666732e-01,7.561455732697624707e-36,2.139568605284020305e+06,2.139568605284020305e+06,10,0
256,4.658333333333333215e-01,6.780778307688889924e-36,1.974473311241600197e+06,1.974473311241600197e+06,10,0
256,4.660000000000000253e-01,6.080569981934109522e-36,1.822069253496605903e+06,1.822069253496605903e+06,10,0
256,4.661666666666666736e-01,5.452549832249067068e-36,1.681384516744910972e+06,1.681384516744910972e+06,10,0
256,4.663333333333333219e-01,4.889287723289608558e-36,1.551521334224709542e+06,1.551521334224709542e+06,10,0
256,4.665000000000000258e-01,4.384117039050352613e-36,1.431650452365955338e+06,1.431650452365955338e+06,10,0
256,4.666666666666666741e-01,3.931056351292977993e-36,1.321005922096131137e+06,1.321005922096131137e+06,10,0
256,4.668333333333333224e-01,3.524739111179843874e-36,1.218880284622407518e+06,1.218880284622407518e+06,10,0
256,4.670000000000000262e-01,3.160350543660435013e-36,1.124620121930830879e+06,1.124620121930830879e+06,10,0
256,4.671666666666666745e-01,2.833571007922360154e-36,1.037621944477240206e+06,1.037621944477240206e+06,10,0
256,4.673333333333333228e-01,2.540525162436008133e-36,9.573283906144807115e+05,9.573283906144807115e+05,10,0
256,4.675000000000000266e-01,2.277736340692919237e-36,8.832247142160232179e+05,8.832247142160232179e+05,10,0
256,4.676666666666666750e-01,2.042085604393333334e-36,8.148355387251869543e+05,8.148355387251869543e+05,10,0
256,4.678333333333333233e-01,1.830774995325638615e-36,7.517218574983818689e+05,7.517218574983818689e+05,10,0
256,4.680000000000000271e-01,1.641294556103955201e-36,6.934782618258957518e+05,6.934782618258957518e+05,10,0
256,4.681666666666666754e-01,1.471392733859651951e-36,6.397303794153954368e+05,6.397303794153954368e+05,10,0
256,4.683333333333333237e-01,1.319049820434505638e-36,5.901325074200772215e+05,5.901325074200772215e+05,10,0
256,4.685000000000000275e-01,1.182454118044976127e-36,5.443654252925595501e+05,5.443654252925595501e+05,10,0
256,4.686666666666666758e-01,1.059980551195473450e-36,5.021343738552008872e+05,5.021343738552008872e+05,10,0
256,4.688333333333333242e-01,9.501714741756437262e-37,4.631671880029310705e+05,4.631671880029310705e+05,10,0
256,4.690000000000000280e-01,8.517194491241365561e-37,4.272125714046180947e+05,4.272125714046180947e+05,10,0
256,4.691666666666666763e-01,7.634517926615685569e-37,3.940385024458797416e+05,3.940385024458797416e+05,10,0
256,4.693333333333333246e-01,6.843167097693764469e-37,3.634307614680408151e+05,3.634307614680408151e+05,10,0
256,4.695000000000000284e-01,6.133708521517959792e-37,3.351915701092911768e+05,3.351915701092911768e+05,10,0
256,4.696666666666666767e-01,5.497681549800739726e-37,3.091383342475788668e+05,3.091383342475788668e+05,10,0
256,4.698333333333333250e-01,4.927498208793055098e-37,2.851024826872929116e+05,2.851024826872929116e+05,10,0
256,4.700000000000000289e-01,4.416353334486657686e-37,2.629283943253391190e+05,2.629283943253391190e+05,10,0
256,4.701666666666666772e-01,3.958143946633260242e-37,2.424724070813382277e+05,2.424724070813382277e+05,10,0
256,4.703333333333333255e-01,3.547396913306242794e-37,2.236019023843148025e+05,2.236019023843148025e+05,10,0
256,4.705000000000000293e-01,3.179204054905747517e-37,2.061944594777690363e+05,2.061944594777690363e+05,10,0
256,4.706666666666666776e-01,2.849163923737240177e-37,1.901370742391525127e+05,1.901370742391525127e+05,10,0
256,4.708333333333333259e-01,2.553329573595692403e-37,1.753254376109620498e+05,1.753254376109620498e+05,10,0
256,4.710000000000000298e-01,2.288161704084712987e-37,1.616632691121561220e+05,1.616632691121561220e+05,10,0
256,4.711666666666666781e-01,2.050486627491083149e-37,1.490617012414290220e+05,1.490617012414290220e+05,10,0
256,4.713333333333333264e-01,1.837458562669506016e-37,1.374387109011689317e+05,1.374387109011689317e+05,10,0
256,4.715000000000000302e-01,1.646525811235856390e-37,1.267185942645034520e+05,1.267185942645034520e+05,10,0
256,4.716666666666666785e-01,1.475400416989309253e-37,1.168314817786953354e+05,1.168314817786953354e+05,10,0
256,4.718333333333333268e-01,1.322030950443076846e-37,1.077128902490621404e+05,1.077128902490621404e+05,10,0
256,4.720000000000000306e-01,1.184578097102409358e-37,9.930330917929006682e+04,9.930330917929006682e+04,10,0
256,4.721666666666666790e-01,1.061392761120014740e-37,9.154781875829424825e+04,9.154781875829424825e+04,10,0
256,4.723333333333333273e-01,9.509964255698305463e-38,8.439573708183238341e+04,8.439573708183238341e+04,10,0
256,4.725000000000000311e-01,8.520635371556885292e-38,7.780029438018197834e+04,7.780029438018197834e+04,10,0
256,4.726666666666666794e-01,7.634057070216914197e-38,7.171833219245809596e+04,7.171833219245809596e+04,10,0
256,4.728333333333333277e-01,6.839575407340479346e-38,6.611002558451220102e+04,6.611002558451220102e+04,10,0
256,4.730000000000000315e-01,6.127639297157944489e-38,6.093862665210486739e+04,6.093862665210486739e+04,10,0
256,4.731666666666666798e-01,5.489686536509023440e-38,5.617022768456931226e+04,5.617022768456931226e+04,10,0
256,4.733333333333333282e-01,4.918041588455168870e-38,5.177354248775969609e+04,5.177354248775969609e+04,10,0
256,4.735000000000000320e-01,4.405823914155619246e-38,4.771970447933219839e+04,4.771970447933219839e+04,10,0
256,4.736666666666666803e-01,3.946865766261291245e-38,4.398208027483558544e+04,4.398208027483558544e+04,10,0
256,4.738333333333333286e-01,3.535638468863151956e-38,4.053609758068458177e+04,4.053609758068458177e+04,10,0
256,4.740000000000000324e-01,3.167186309333050759e-38,3.735908630020993587e+04,3.735908630020993587e+04,10,0
256,4.741666666666666807e-01,2.837067257390955325e-38,3.443013184228150931e+04,3.443013184228150931e+04,10,0
256,4.743333333333333290e-01,2.541299807486920328e-38,3.172993969898369323e+04,3.172993969898369323e+04,10,0
256,4.745000000000000329e-01,2.276315313044281703e-38,2.924071042996325195e+04,2.924071042996325195e+04,10,0
256,4.746666666666666812e-01,2.038915246118489066e-38,2.694602425681967361e+04,2.694602425681967361e+04,10,0
256,4.748333333333333295e-01,1.826232874354999886e-38,2.483073453162391161e+04,2.483073453162391161e+04,10,0
256,4.750000000000000333e-01,1.635698899463639122e-38,2.288086939983750563e+04,2.288086939983750563e+04,10,0
256,4.751666666666666816e-01,1.465010648375593186e-38,2.108354102972968758e+04,2.108354102972968758e+04,10,0
256,4.753333333333333299e-01,1.312104450371536204e-38,1.942686182831747283e+04,1.942686182831747283e+04,10,0
256,4.755000000000000338e-01,1.175130871262551975e-38,1.789986710817421408e+04,1.789986710817421408e+04,10,0
256,4.756666666666666821e-01,1.052432509602801464e-38,1.649244371031951960e+04,1.649244371031951960e+04,10,0
256,4.758333333333333304e-01,9.425240903294936124e-39,1.519526412623250508e+04,1.519526412623250508e+04,10,0
256,4.760000000000000342e-01,8.440746185080551635e-39,1.399972569694719095e+04,1.399972569694719095e+04,10,0
256,4.761666666666666825e-01,7.558913803343747908e-39,1.289789449945228080e+04,1.289789449945228080e+04,10,0
256,4.763333333333333308e-01,6.769056005021601449e-39,1.188245356042955245e+04,1.188245356042955245e+04,10,0
256,4.765000000000000346e-01,6.061595847361417895e-39,1.094665506489928703e+04,1.094665506489928703e+04,10,0
256,4.766666666666666829e-01,5.427951939585636831e-39,1.008427625278518462e+04,1.008427625278518462e+04,10,0
256,4.768333333333333313e-01,4.860435124007450214e-39,9.289578719899644057e+03,9.289578719899644057e+03,10,0
256,4.770000000000000351e-01,4.352155861860190947e-39,8.557270861576580501e+03,8.557270861576580501e+03,10,0
256,4.771666666666666834e-01,3.896941216574945477e-39,7.882473217215443583e+03,7.882473217215443583e+03,10,0
