alpha,dimension,gamma,scaled_difference
2,2,0.47000000000000003,-1.3605442176870748
2,2,0.47100000000000003,-1.3596193065941535
2,2,0.47200000000000003,-1.358695652173913
2,2,0.47300000000000003,-1.357773251866938
2,2,0.47400000000000003,-1.3568521031207599
2,2,0.47500000000000003,-1.3559322033898304
2,2,0.47600000000000003,-1.3550135501355014
2,2,0.47700000000000004,-1.3540961408259986
2,2,0.47800000000000004,-1.3531799729364005
2,2,0.47900000000000004,-1.352265043948614
2,2,0.48,-1.3513513513513513
2,2,0.481,-1.350438892640108
2,2,0.482,-1.349527665317139
2,2,0.483,-1.3486176668914363
2,2,0.484,-1.3477088948787062
2,2,0.485,-1.3468013468013469
2,2,0.486,-1.3458950201884252
2,2,0.487,-1.3449899125756557
2,2,0.488,-1.3440860215053763
2,2,0.489,-1.343183344526528
2,2,0.49,-1.342281879194631
2,2,0.491,-1.341381623071764
2,2,0.492,-1.3404825737265416
2,2,0.493,-1.3395847287340925
2,2,0.494,-1.3386880856760375
2,2,0.495,-1.3377926421404682
2,2,0.496,-1.3368983957219251
2,2,0.497,-1.3360053440213762
2,2,0.498,-1.335113484646195
2,2,0.499,-1.33422281521014
2,2,0.5,-1.3333333333333333
2,2,0.501,-1.3324450366422387
2,2,0.502,-1.3315579227696406
2,2,0.503,-1.330671989354624
2,2,0.504,-1.3297872340425532
2,2,0.505,-1.3289036544850499
2,2,0.506,-1.3280212483399734
2,2,0.507,-1.3271400132714
2,2,0.508,-1.3262599469496021
2,2,0.509,-1.3253810470510272
2,2,0.51,-1.3245033112582782
2,2,0.511,-1.3236267372600925
2,2,0.512,-1.3227513227513228
2,2,0.513,-1.3218770654329148
2,2,0.514,-1.321003963011889
2,2,0.515,-1.3201320132013201
2,2,0.516,-1.3192612137203166
2,2,0.517,-1.3183915622940015
2,2,0.518,-1.3175230566534915
2,2,0.519,-1.3166556945358787
2,2,0.52,-1.3157894736842106
2,2,0.521,-1.314924391847469
2,2,0.522,-1.314060446780552
2,2,0.523,-1.3131976362442546
2,2,0.524,-1.3123359580052494
2,2,0.525,-1.3114754098360657
2,2,0.526,-1.310615989515072
2,2,0.527,-1.309757694826457
2,2,0.528,-1.3089005235602094
2,2,0.529,-1.3080444735120995
2,2,0.53,-1.3071895424836601
2,2,0.531,-1.3063357282821684
2,2,0.532,-1.3054830287206267
2,2,0.533,-1.3046314416177431
2,2,0.534,-1.303780964797914
2,2,0.535,-1.3029315960912051
2,2,0.536,-1.3020833333333333
2,2,0.537,-1.3012361743656475
2,2,0.538,-1.3003901170351104
2,2,0.539,-1.299545159194282
2,2,0.54,-1.2987012987012987
2,2,0.541,-1.2978585334198574
2,2,0.542,-1.297016861219196
2,2,0.543,-1.2961762799740764
2,2,0.544,-1.2953367875647668
2,2,0.545,-1.2944983818770228
2,2,0.546,-1.2936610608020698
2,2,0.547,-1.2928248222365868
2,2,0.548,-1.2919896640826873
2,2,0.549,-1.2911555842479019
2,2,0.55,-1.2903225806451613
2,2,0.551,-1.2894906511927786
2,2,0.552,-1.2886597938144329
2,2,0.553,-1.2878300064391501
2,2,0.554,-1.287001287001287
2,2,0.555,-1.2861736334405143
2,2,0.556,-1.2853470437017995
2,2,0.557,-1.2845215157353886
2,2,0.558,-1.2836970474967908
2,2,0.559,-1.2828736369467606
2,2,0.56,-1.282051282051282
2,2,0.561,-1.2812299807815504
2,2,0.562,-1.2804097311139564
2,2,0.5630000000000001,-1.2795905310300701
2,2,0.5640000000000001,-1.278772378516624
2,2,0.5650000000000001,-1.2779552715654952
2,2,0.5660000000000001,-1.277139208173691
2,2,0.5670000000000001,-1.276324186343331
2,2,0.5680000000000001,-1.2755102040816326
2,2,0.5690000000000001,-1.2746972594008923
2,2,0.5700000000000001,-1.2738853503184713
2,2,0.5710000000000001,-1.273074474856779
2,2,0.5720000000000001,-1.272264631043257
2,2,0.5730000000000001,-1.2714558169103625
2,2,0.5740000000000001,-1.2706480304955527
2,2,0.5750000000000001,-1.2698412698412698
2,2,0.5760000000000001,-1.2690355329949239
2,2,0.577,-1.2682308180088777
2,2,0.578,-1.267427122940431
2,2,0.579,-1.266624445851805
2,2,0.58,-1.2658227848101264
2,2,0.581,-1.2650221378874131
2,2,0.582,-1.2642225031605563
2,2,0.583,-1.2634238787113077
2,2,0.584,-1.2626262626262625
2,2,0.585,-1.2618296529968454
2,2,0.586,-1.2610340479192939
2,2,0.587,-1.260239445494644
2,2,0.588,-1.2594458438287153
2,2,0.589,-1.2586532410320956
2,2,0.59,-1.257861635220126
2,2,0.591,-1.257071024512885
2,2,0.592,-1.2562814070351758
2,2,0.593,-1.2554927809165097
2,2,0.594,-1.2547051442910917
2,2,0.595,-1.2539184952978057
2,2,0.596,-1.2531328320802004
2,2,0.597,-1.2523481527864746
2,2,0.598,-1.2515644555694618
2,2,0.599,-1.2507817385866167
2,2,0.6,-1.25
2,2,0.601,-1.2492192379762648
2,2,0.602,-1.2484394506866419
2,2,0.603,-1.2476606363069245
2,2,0.604,-1.2468827930174562
2,2,0.605,-1.2461059190031152
2,2,0.606,-1.2453300124533002
2,2,0.607,-1.2445550715619167
2,2,0.608,-1.243781094527363
2,2,0.609,-1.2430080795525171
2,2,0.61,-1.2422360248447206
