alpha,dimension,gamma,scaled_difference
2,2,0.611,-1.2414649286157666
2,2,0.612,-1.2406947890818858
2,2,0.613,-1.2399256044637321
2,2,0.614,-1.2391573729863694
2,2,0.615,-1.238390092879257
2,2,0.616,-1.2376237623762376
2,2,0.617,-1.2368583797155226
2,2,0.618,-1.2360939431396787
2,2,0.619,-1.2353304508956147
2,2,0.62,-1.2345679012345678
2,2,0.621,-1.2338062924120914
2,2,0.622,-1.2330456226880395
2,2,0.623,-1.2322858903265557
2,2,0.624,-1.231527093596059
2,2,0.625,-1.2307692307692308
2,2,0.626,-1.2300123001230012
2,2,0.627,-1.2292562999385372
2,2,0.628,-1.2285012285012284
2,2,0.629,-1.2277470841006752
2,2,0.63,-1.2269938650306749
2,2,0.631,-1.226241569589209
2,2,0.632,-1.2254901960784312
2,2,0.633,-1.224739742804654
2,2,0.634,-1.2239902080783354
2,2,0.635,-1.2232415902140672
2,2,0.636,-1.2224938875305622
2,2,0.637,-1.2217470983506413
2,2,0.638,-1.221001221001221
2,2,0.639,-1.2202562538133008
2,2,0.64,-1.2195121951219512
2,2,0.641,-1.218769043266301
2,2,0.642,-1.218026796589525
2,2,0.643,-1.2172854534388313
2,2,0.644,-1.21654501216545
2,2,0.645,-1.21580547112462
2,2,0.646,-1.2150668286755772
2,2,0.647,-1.214329083181542
2,2,0.648,-1.2135922330097086
2,2,0.649,-1.212856276531231
2,2,0.65,-1.2121212121212122
2,2,0.651,-1.2113870381586918
2,2,0.652,-1.2106537530266344
2,2,0.653,-1.2099213551119177
2,2,0.654,-1.2091898428053205
2,2,0.655,-1.2084592145015105
2,2,0.656,-1.2077294685990336
2,2,0.657,-1.2070006035003018
2,2,0.658,-1.2062726176115803
2,2,0.659,-1.2055455093429777
2,2,0.66,-1.2048192771084336
2,2,0.661,-1.2040939193257074
2,2,0.662,-1.203369434416366
2,2,0.663,-1.2026458208057726
2,2,0.664,-1.2019230769230769
2,2,0.665,-1.2012012012012012
2,2,0.666,-1.2004801920768309
2,2,0.667,-1.1997600479904018
2,2,0.668,-1.199040767386091
2,2,0.669,-1.1983223487118035
2,2,0.67,-1.1976047904191618
2,2,0.671,-1.196888090963495
2,2,0.672,-1.1961722488038276
2,2,0.673,-1.195457262402869
2,2,0.674,-1.1947431302270013
2,2,0.675,-1.1940298507462686
2,2,0.676,-1.1933174224343674
2,2,0.677,-1.1926058437686344
2,2,0.678,-1.1918951132300357
2,2,0.679,-1.1911852293031566
2,2,0.68,-1.1904761904761905
2,2,0.681,-1.189767995240928
2,2,0.682,-1.1890606420927468
2,2,0.683,-1.1883541295306002
2,2,0.684,-1.187648456057007
2,2,0.685,-1.1869436201780414
2,2,0.686,-1.1862396204033214
2,2,0.687,-1.1855364552459988
2,2,0.6880000000000001,-1.1848341232227486
2,2,0.6890000000000001,-1.1841326228537596
2,2,0.6900000000000001,-1.183431952662722
2,2,0.6910000000000001,-1.1827321111768183
2,2,0.6920000000000001,-1.1820330969267139
2,2,0.6930000000000001,-1.1813349084465445
2,2,0.6940000000000001,-1.1806375442739079
2,2,0.6950000000000001,-1.1799410029498525
2,2,0.6960000000000001,-1.1792452830188678
2,2,0.6970000000000001,-1.1785503830288744
2,2,0.6980000000000001,-1.1778563015312131
2,2,0.6990000000000001,-1.1771630370806356
2,2,0.7000000000000001,-1.176470588235294
2,2,0.7010000000000001,-1.1757789535567313
2,2,0.7020000000000001,-1.1750881316098707
2,2,0.7030000000000001,-1.1743981209630063
2,2,0.704,-1.1737089201877935
2,2,0.705,-1.1730205278592374
2,2,0.706,-1.1723329425556859
2,2,0.707,-1.1716461628588168
2,2,0.708,-1.17096018735363
2,2,0.709,-1.1702750146284375
2,2,0.71,-1.1695906432748537
2,2,0.711,-1.168907071887785
2,2,0.712,-1.1682242990654206
2,2,0.713,-1.1675423234092235
2,2,0.714,-1.1668611435239207
2,2,0.715,-1.1661807580174928
2,2,0.716,-1.1655011655011656
2,2,0.717,-1.1648223645894
2,2,0.718,-1.1641443538998837
2,2,0.719,-1.1634671320535195
2,2,0.72,-1.1627906976744187
2,2,0.721,-1.1621150493898895
2,2,0.722,-1.1614401858304297
2,2,0.723,-1.1607661056297156
2,2,0.724,-1.160092807424594
2,2,0.725,-1.1594202898550725
2,2,0.726,-1.1587485515643106
2,2,0.727,-1.1580775911986103
2,2,0.728,-1.1574074074074074
2,2,0.729,-1.156737998843262
2,2,0.73,-1.1560693641618498
2,2,0.731,-1.1554015020219528
2,2,0.732,-1.1547344110854503
2,2,0.733,-1.154068090017311
2,2,0.734,-1.1534025374855825
2,2,0.735,-1.1527377521613833
2,2,0.736,-1.1520737327188941
2,2,0.737,-1.1514104778353482
2,2,0.738,-1.1507479861910241
2,2,0.739,-1.1500862564692353
2,2,0.74,-1.1494252873563218
2,2,0.741,-1.1487650775416427
2,2,0.742,-1.148105625717566
2,2,0.743,-1.1474469305794608
2,2,0.744,-1.146788990825688
2,2,0.745,-1.146131805157593
2,2,0.746,-1.145475372279496
2,2,0.747,-1.1448196908986836
2,2,0.748,-1.1441647597254005
2,2,0.749,-1.1435105774728416
2,2,0.75,-1.1428571428571428
2,2,0.751,-1.142204454597373
