lambda_ratio,log2N_left,log2N_right,beta_quotient
0.975,24.0,26.0,0.4823660682378228
0.975,26.0,28.0,0.48380128163727915
0.975,28.0,30.0,0.4849062471715475
0.975,30.0,32.0,0.48592666170205645
1.0,10.0,12.0,0.43601008328578955
1.0,12.0,14.0,0.45018424097306814
1.0,14.0,16.0,0.46014831329579536
1.0,16.0,18.0,0.46684066330155005
1.0,18.0,20.0,0.47172320493048037
1.0,20.0,22.0,0.47502998432280724
1.0,22.0,24.0,0.47756725311898635
1.0,24.0,26.0,0.47947807496819983
1.0,26.0,28.0,0.48112182815348864
1.0,28.0,30.0,0.4822173662911581
1.0,30.0,32.0,0.4834023272215102
1.025,10.0,12.0,0.431885801239143
1.025,12.0,14.0,0.44624574114345317
1.025,14.0,16.0,0.4562610270488904
1.025,16.0,18.0,0.4632281048206191
1.025,18.0,20.0,0.46815725145462017
1.025,20.0,22.0,0.47160716349932535
1.025,22.0,24.0,0.47425007715896483
1.025,24.0,26.0,0.47629394980683687
1.025,26.0,28.0,0.4777327126499502
1.025,28.0,30.0,0.47921862670162785
1.025,30.0,32.0,0.4803670495647926
1.05,10.0,12.0,0.42751296676916783
1.05,12.0,14.0,0.4419778125401214
1.05,14.0,16.0,0.45211723549353583
1.05,16.0,18.0,0.45920529694942647
1.05,18.0,20.0,0.46417681770756125
1.05,20.0,22.0,0.46780845623397155
1.05,22.0,24.0,0.4704429417602366
1.05,24.0,26.0,0.47241402977473745
1.05,26.0,28.0,0.4740379037680638
1.05,28.0,30.0,0.47532726704188094
1.05,30.0,32.0,0.4764818341746943
1.075,10.0,12.0,0.42301468361849437
1.075,12.0,14.0,0.4374446153233665
1.075,14.0,16.0,0.4476313401272327
1.075,16.0,18.0,0.45479317993143914
1.075,18.0,20.0,0.4599036548464306
1.075,20.0,22.0,0.46340770894007444
1.075,22.0,24.0,0.46608647709253453
1.075,24.0,26.0,0.4680116781823655
1.075,26.0,28.0,0.4695050027190744
1.075,28.0,30.0,0.4708217308513103
1.075,30.0,32.0,0.4716504804396472
1.1,10.0,12.0,0.41831393433247926
1.1,12.0,14.0,0.43264926229630485
1.1,14.0,16.0,0.44289124512380573
1.1,16.0,18.0,0.45003140898989463
1.1,18.0,20.0,0.45498418546508024
1.1,20.0,22.0,0.458596707282808
1.1,22.0,24.0,0.46108149554547234
1.1,24.0,26.0,0.46294548566694943
1.1,26.0,28.0,0.46431064505436315
1.1,28.0,30.0,0.4653550718398053
1.1,30.0,32.0,0.4660300530501412
1.15,10.0,12.0,0.4084553170701531
