dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted,log_normalized_distance,stationary_scale,correction_balance
phase_regimes,1,4,2,1.5,0.41527872955648903,0.6229180943347337,28.0,268435456,1.032095744484883,0.001443542476793458,0.001443161555162109,0.0014432187727267951,177056152.34800765,177056152.06546342,0.3370176526757061,supercritical,0.0014352849521487609,1.0055276971768963,3.9645801293267914e-05,1.5957888057448837e-09,1.4211788495599586e-09,1.3946610987186432,1.4419653415679932,1,1,1,0.005512475526874561,0.0014352849521487609,0.01190504600272323
phase_regimes,3,4,2,1.5,0.41527872955648903,0.6229180943347337,32.0,4294967296,1.0280837764242725,0.000571790751025758,0.0005711518689814897,0.0005710559545706316,2836719416.817723,2836719413.466967,0.33669000829495394,supercritical,0.0005695999926052019,1.0025561130342904,0.00016795974210656223,1.181208009372034e-09,5.40213956269432e-10,7.627389907836913,7.770628452301025,1,1,1,0.0025528517336881364,0.0005695999926052019,0.010415304872641378
phase_regimes,3,4,2,1.6,0.41527872955648903,0.6644459672903825,16.0,65536,1.0599120563717817,0.02840414961577853,0.028411646874120008,0.028410520471613743,42782.35647288409,42782.35623393639,0.3210894330184505,supercritical,0.028931139262048388,0.9820048983996429,3.964737314101438e-05,5.585192643074666e-09,8.506198292019977e-08,0.015348919558164196,0.015888473855738994,1,1,1,-0.018158982453103076,0.028931139262048388,-0.04164380230702614
phase_regimes,2,4,2,1.6,0.41527872955648903,0.6644459672903825,22.0,4194304,1.043572404634023,0.0078037969128413875,0.007805856720379811,0.007806166202093845,2755432.63460652,2755432.62200437,0.3182350047705266,supercritical,0.007887791106366566,0.9896517411310704,3.9645801283433306e-05,4.573564749235773e-09,7.954797896046746e-09,0.16767836268991232,0.1730499374680221,1,1,1,-0.010402174376698721,0.007887791106366566,-0.04734141733220097
phase_regimes,1,4,2,1.6,0.41527872955648903,0.6644459672903825,28.0,268435456,1.0342354607838753,0.002140212568447541,0.002140079233548753,0.0021401640820686296,176927345.09482592,176927344.70123023,0.316716531259751,supercritical,0.0021504839409690565,0.995201145796152,3.964580126714701e-05,2.2246176596401984e-09,1.178727922699926e-09,2.195080012083053,2.246051698923111,1,1,1,-0.004810405675384783,0.0021504839409690565,-0.05059397212209068
phase_regimes,3,4,2,1.6,0.41527872955648903,0.6644459672903825,32.0,4294967296,1.0299560281858908,0.0009020984471450609,0.0009018604016302056,0.0009018246466518942,2834941098.8103075,2834941095.530068,0.31608954501640046,supercritical,0.0009041786040721104,0.9973965791607821,3.964737318299562e-05,1.157075040195302e-09,2.7042358739299704e-10,12.722877025604248,13.098860263824461,1,1,1,-0.002606815632581571,0.0009041786040721105,-0.052083943699451914
phase_regimes,3,4,2,1.75,0.41527872955648903,0.7267377767238559,16.0,65536,1.065528811656636,0.0363458904638887,0.03634362612075792,0.03634506705006413,42676.74918232714,42676.748916221455,0.2988810389219297,supercritical,0.0389377746621772,0.9334140783697241,3.9645801291876266e-05,6.23537857922956e-09,4.283978180048784e-08,0.02081174038175959,0.02145474814460613,1,1,1,-0.0689063626899552,0.038937774662176766,-0.12199642093517578
phase_regimes,2,4,2,1.75,0.41527872955648903,0.7267377767238559,22.0,4194304,1.0476573175684627,0.011467609590275263,0.011470636458983607,0.011470181696409896,2751254.9353050743,2751254.9225619226,0.29299854294782995,supercritical,0.011867050849046908,0.9665570529961213,3.964737314072404e-05,4.631759726148554e-09,1.835760027704719e-08,0.2687409627251327,0.27410724712535733,1,1,1,-0.03401495155749325,0.011867050849046908,-0.1276961714194293
phase_regimes,1,4,2,1.75,0.41527872955648903,0.7267377767238559,28.0,268435456,1.0374450352323634,0.003565058662352349,0.0035659996574588515,0.003566141039977877,176731620.1700423,176731619.59849134,0.29040787579807725,supercritical,0.0036166340044749327,0.98603868557488,3.964580128507468e-05,3.2340053036912495e-09,3.800043738363668e-09,3.980715036392212,4.117032289505005,1,1,1,-0.014059690286207332,0.0036166340044749327,-0.13094964176137663
phase_regimes,3,4,2,1.75,0.41527872955648903,0.7267377767238559,32.0,4294967296,1.032764405828318,0.0016259905599752544,0.0016255614939889584,0.0016258345228783444,2832255195.5824785,2832255190.584058,0.28951887053118447,supercritical,0.001637858264258579,0.9926588633200946,0.000167931536416509,1.7648200387978717e-09,2.8137507673225885e-09,25.002858638763428,26.008429527282715,1,1,1,-0.007368215431050635,0.001637858264258579,-0.13243995914356313
