N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column
65536,scaled_r,1.05,15,1.05,1.0393172869939817,0.2541713128340439,0.010472121122909846,0.004709558975914418,30,31
65536,scaled_r,1.1,16,1.1,1.0411895387555998,0.25463074299207766,0.011408836101046932,0.005987294720210239,32,33
65536,scaled_r,1.15,17,1.15,1.043061790517218,0.25509021747913513,0.012489795646425066,0.007454449394565916,34,35
65536,scaled_r,1.2,18,1.2,1.0449340422788362,0.25554973649006174,0.013733838797518992,0.009113143847335456,36,37
65536,scaled_r,1.3,19,1.3,1.0486785458020726,0.25646890886259427,0.016777232816862313,0.013002825903375627,38,39
65536,scaled_r,1.4,20,1.4,1.0524230493253088,0.2573882616672324,0.02063268189772189,0.017634119869638545,40,41
65536,scaled_r,1.45,21,1.45,1.0542953010869272,0.25784800621806514,0.022873369369928998,0.02021471510724139,42,43
65536,scaled_r,1.5,22,1.5,1.0561675528485452,0.25830779646057506,0.025317799253772037,0.022962916362841212,44,45
65536,scaled_r,1.55,23,1.55,1.0580398046101633,0.2587676325891917,0.027957915846549455,0.025871090249538282,46,47
65536,scaled_r,1.6,24,1.6,1.0599120563717817,0.2592275147982836,0.030783465133986963,0.028931139262048385,48,49
65536,scaled_r,1.75,25,1.75,1.0655288116566362,0.2606074398512379,0.040255486455182246,0.038937774662177196,50,51
65536,scaled_r,2,26,2.0,1.074890070464727,0.26290825467344187,0.05866215378232043,0.05785969666311366,52,53
65536,scaled_r,2.25,27,2.25,1.0842513292728178,0.2652102651733915,0.0792645982909428,0.078732698098824,54,55
65536,scaled_r,2.5,28,2.5,1.0936125880809087,0.2675134955625488,0.10111126773616537,0.10073395445358237,56,57
65536,scaled_r,2.75,29,2.75,1.1029738468889996,0.2698179700185032,0.12351765378547935,0.12323557476884398,58,59
65536,scaled_r,3,30,3.0,1.1123351056970905,0.2721237126858257,0.14600067123736082,0.1457809920546696,60,61
65536,fixed_alpha,1.01,31,0.26705810097241084,1.01,0.24698280240676612,0.004550015764584023,8.89030870783047e-10,62,63
65536,fixed_alpha,1.03,32,0.8011743029172325,1.03,0.2518856047263533,0.007349563494535978,0.000913411442080404,64,65
65536,fixed_alpha,1.05,33,1.3352905048620543,1.05,0.2567933324266264,0.018042528293346495,0.014554447210140093,66,67
65536,fixed_alpha,1.075,34,2.002935757293078,1.075,0.262935280264487,0.05889351249761604,0.05809528966685378,68,69
65536,fixed_alpha,1.1,35,2.6705810097241085,1.1,0.2690857575821216,0.11637180281959969,0.11606393119265018,70,71
65536,fixed_alpha,1.2,36,5.34116201944821,1.2,0.2937821497998332,0.32773698538231294,0.32768,72,73
