N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column,trajectories,mean_finite,mean_stationary_scale,mean_difference,variance_difference,variance_stationary_scale,covariance_difference_stationary_scale,saving_estimate_pct,saving_standard_error_pct,saving_lower95_pct,saving_upper95_pct,saved_cost_per_input,N_delta_finite,N_delta_stationary_scale
256,scaled_r,1.55,23,1.55,1.116079609220327,0.27304637025417894,0.19167818069252435,0.15473590043505622,46,47,32768,163.38188102548986,163.20712240737114,0.17475861811871662,0.08799452234246952,17.082337936282233,0.12103799266001658,-0.1070778134807821,0.0010027013728363407,-0.10904310817154134,-0.10511251879002287,-0.0006826508520262368,49.06961425728623,39.61239051137439
256,scaled_r,1.6,24,1.6,1.119824112743563,0.2739692361364638,0.19859568492308272,0.1636299617826748,48,49,32768,163.00222816618026,162.81037925944662,0.1918489067336504,0.07461753597859767,17.150336758650962,0.12863454437614608,-0.1178357962227515,0.0009251218731413387,-0.11964903509410853,-0.11602255735139448,-0.0007494097919283219,50.840495340309175,41.88927021636475
256,scaled_r,1.75,25,1.75,1.1310576233132723,0.27673909907287897,0.2196117566786904,0.18982553605636548,50,51,32768,161.86565792320314,161.63737897049816,0.22827895270497206,0.04723022722714357,17.376689667779598,0.13904005307618694,-0.14122906109894126,0.0007399301080569156,-0.1426793241107328,-0.1397787980871497,-0.0008917146590037971,56.22060970974474,48.595337230429564
256,scaled_r,2,26,2.0,1.149780140929454,0.28135984725216273,0.2546507460482719,0.23138691614287415,52,53,32768,159.98819127846247,159.72676553562235,0.26142574284012543,0.024543170338138628,17.79168787531909,0.13745668367401023,-0.16367059206606305,0.0005373705605486955,-0.1647238383647385,-0.1626173457673876,-0.00102119430796924,65.19059098835761,59.235050532575784
256,scaled_r,2.25,27,2.25,1.1685026585456357,0.28598614927777416,0.28858257693362355,0.26990435863611717,54,55,32768,158.14545730082455,157.86620571771618,0.2792515831083487,0.014241237392805391,18.220594003899873,0.1299001576081408,-0.17689129971723283,0.0004116549066308012,-0.1776981433342292,-0.17608445610023646,-0.001090826496516987,73.87713969500763,69.095515810846
256,scaled_r,2.5,28,2.5,1.1872251761618173,0.29061819675587,0.3206750042922001,0.3052824507349559,56,57,32768,156.34982693390504,156.05904516469934,0.2907817692057033,0.009037237216132208,18.648113679345688,0.12206793162787746,-0.18632804583599896,0.0003291705603137269,-0.18697322013421386,-0.18568287153778407,-0.0011358662859597786,82.09280109880322,78.15230738814871
256,scaled_r,2.75,29,2.75,1.2059476937779992,0.2952561808707235,0.35062484608673683,0.3376474473318268,58,59,32768,154.61026176208162,154.31069576021986,0.29956600186175797,0.006162665264821851,19.068315301323995,0.11562280514764822,-0.19413171613667485,0.00027230365775871446,-0.19466543130588193,-0.19359800096746776,-0.001170179694772492,89.75996059820463,86.43774651694766
256,scaled_r,3,30,3.0,1.224670211394181,0.2999002924104355,0.37837611392767917,0.3672208717677807,60,61,32768,152.93280205978152,152.62574017071555,0.30706188906596743,0.004454168373667027,19.48014104050735,0.11075430461297703,-0.2011861752300178,0.00023140316387283,-0.20163972543120856,-0.20073262502882705,-0.0011994605041639353,96.86428516548587,94.00854317255185
256,fixed_alpha,1.01,31,0.13352905048620542,1.01,0.24698280240676612,0.06673149238437122,8.89030870783047e-10,62,63,32768,173.76288574417944,232.07196742759507,-58.30908168341563,1176.7696089316753,1258.4694436035445,-1209.2481833937493,25.125430843605734,0.06062149028712062,25.006612722642977,25.24424896456849,0.2277698503258423,17.083262050399032,2.2759190292046004e-07
256,fixed_alpha,1.03,32,0.40058715145861623,1.03,0.2518856047263533,0.07896740049301096,0.000913411442080404,64,65,32768,171.886232152463,219.9384499441515,-48.0522177916885,806.7915652037063,867.4269050474481,-828.7714190158113,21.848029666431813,0.05537545096677338,21.739493782536936,21.95656555032669,0.1877039757487832,20.215654526210805,0.23383332917258343
