resolution,d,alpha,gamma,uniform_cost_numeric,uniform_cost_used,adversarial_cost,stationary_iterations,stationary_residual
high,68,2,0.73839999999999995,0.68586569141165055,0.68584412859115107,0.8122595659528129,55,1.4730759257340554e-14
high,68,2,0.73999999999999999,0.68694445048132147,0.68692282430213458,0.812789007794953,55,1.850101527808321e-14
high,68,2,0.74160000000000004,0.68803268470131562,0.68801096134917006,0.81332863787257659,56,1.276509980132394e-14
high,68,2,0.74319999999999997,0.68913034071523571,0.68910851373500304,0.81387839742748669,56,1.6173191350050677e-14
high,68,2,0.74480000000000002,0.69023733894868622,0.69021545555773889,0.81443822802953503,57,1.1230882489842387e-14
high,68,2,0.74639999999999995,0.6913537207805025,0.69133176101040494,0.8150080715746062,57,1.4153903153304361e-14
high,68,2,0.748,0.69247946010721373,0.69245740438051651,0.81558787028261148,57,1.7901773954998225e-14
high,68,2,0.74960000000000004,0.69361449578268775,0.69359236004964397,0.81617756669549835,58,1.273728716520937e-14
high,68,2,0.75120000000000009,0.69475880659775235,0.69473660249298441,0.81677710367527645,58,1.6032505222894866e-14
high,68,2,0.75280000000000002,0.69591240483068739,0.69589010627893333,0.81738642440205456,59,1.1458584078677737e-14
high,68,2,0.75439999999999996,0.69707524740955851,0.69705284606866003,0.81800547237208976,59,1.4561302400626497e-14
high,68,2,0.75600000000000001,0.6982472760646985,0.69822479661568504,0.81863419139585214,59,1.8512421395341657e-14
high,68,2,0.75760000000000005,0.69942848253305312,0.69940593276545948,0.81927252559610309,60,1.3553701311923621e-14
high,68,2,0.7592000000000001,0.70061888889010959,0.70059622945494704,0.81992041940598492,60,1.7350178242633864e-14
high,68,2,0.76080000000000003,0.70181841202524686,0.70179566171220864,0.820577817567125,61,1.2729437515923542e-14
high,68,2,0.76239999999999997,0.70302704499338209,0.70300420465598856,0.82124466512775374,61,1.6205211908264165e-14
high,68,2,0.76400000000000001,0.70424475002938081,0.70422183349530287,0.82192090744082968,62,1.2165018024838175e-14
high,68,2,0.76560000000000006,0.70547155640805459,0.70544852352903109,0.82260649016218745,62,1.5358663177492014e-14
high,68,2,0.76719999999999999,0.70670737763233527,0.70668425014550862,0.82330135924868875,62,1.9819515343596647e-14
high,68,2,0.76879999999999993,0.70795221152426469,0.70792898882212318,0.82400546095639138,63,1.5059008515359771e-14
high,68,2,0.77039999999999997,0.70920602685632816,0.70918271512491116,0.82471874183873006,63,1.921483310940695e-14
high,68,2,0.77200000000000002,0.71046881826050345,0.71044540470815876,0.8254411487447072,64,1.4753691867078438e-14
high,68,2,0.77360000000000007,0.71174055969268102,0.71171703331400238,0.82617262881709774,64,1.8959122905463262e-14
high,68,2,0.7752,0.71302119819984711,0.71299757677203379,0.82691312949066831,65,1.4660880817957525e-14
high,68,2,0.77679999999999993,0.71431073359418895,0.71428701099890646,0.82766259849040336,65,1.895445642255708e-14
high,68,2,0.77839999999999998,0.71560913740745946,0.71558531199794362,0.82842098382974849,66,1.4880465193071804e-14
high,68,2,0.78000000000000003,0.71691639661782969,0.71689245585874806,0.82918823380886264,66,1.9410486567124471e-14
high,68,2,0.78160000000000007,0.71823246583275757,0.71820841875681563,0.82996429701288155,67,1.5162023658178634e-14
high,68,2,0.78320000000000001,0.71955733101668407,0.71953317695315011,0.83074912231019771,67,1.9699516517722227e-14
high,68,2,0.78479999999999994,0.7208909674866063,0.72086670679387821,0.83154265885074408,68,1.5941052806335051e-14
high,68,2,0.78639999999999999,0.72223336179560793,0.72220898470987149,0.83234485606429953,69,1.2859211354114875e-14
high,68,2,0.78800000000000003,0.72358447381886404,0.72355998721636305,0.83315566365879423,69,1.6692282431031666e-14
high,68,2,0.78960000000000008,0.72494430210700644,0.72491969091257435,0.83397503161863651,70,1.3655283415022e-14
high,68,2,0.79120000000000001,0.72631278740863581,0.72628807248133742,0.83480291020304542,70,1.7967413608090415e-14
high,68,2,0.79279999999999995,0.72768994425030131,0.72766510868872325,0.83563924994439553,71,1.4759069679370964e-14
high,68,2,0.7944,0.72907575636205124,0.72905077638366977,0.8364840016465751,71,1.9320982463948119e-14
high,68,2,0.79600000000000004,0.73047013998715504,0.73044505249761382,0.83733711638335129,72,1.6165138951277038e-14
high,68,2,0.79760000000000009,0.73187311884519479,0.73184791404412242,0.83819854549674988,73,1.3546522406850971e-14
high,68,2,0.79920000000000002,0.73328467240496398,0.73325933811852895,0.83906824059544494,73,1.8022415585310715e-14
