dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.800000000000000000e+01,262144,1.009985342728630275e+00,2.325469105501243305e-03,2.326082911684013155e-03,2.325990692263135706e-03,1.742851901274948905e+05,1.742851896041452419e+05,4.859966089422472213e-01,subcritical,2.357780418202943488e-03,9.865170964631060357e-01,3.964737313188520037e-05,3.002834892414287637e-09,1.921629727378373004e-08,2.196072664810344577e-02,2.211638024891726673e-02,1,1,1
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,2.600000000000000000e+01,67108864,1.006912929581359473e+00,1.459272690258472949e-04,1.458887617742377074e-04,1.458829778974157776e-04,4.463803225220260769e+07,4.463803207485558093e+07,4.901115701863520413e-01,subcritical,1.471365393115670528e-04,9.914802847748320769e-01,3.964737288264719899e-05,3.973002807739039250e-09,1.632181384922861179e-09,3.445796296000480652e-01,3.477332815527915955e-01,1,1,1
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,1.000000000000000000e+01,1024,1.023964822548712572e+00,3.866294851440643665e-02,3.866535735995180190e-02,3.866689033980275081e-02,6.830355160158659373e+02,6.830355058850298064e+02,4.692757444793838051e-01,subcritical,4.124712550251329046e-02,9.374444853726032756e-01,3.964580129090185311e-05,1.483207833794380061e-08,2.730868884645233564e-07,1.453593776659545256e-03,1.450886935344897211e-03,1,1,1
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,1.800000000000000000e+01,262144,1.013313790304840367e+00,2.503992598714810391e-03,2.503836600378561705e-03,2.503935870922568974e-03,1.740840044050996657e+05,1.740840038659863058e+05,4.800881484015617762e-01,subcritical,2.564470866341839531e-03,9.763947423954859595e-01,3.964580130029141662e-05,3.096857540147584941e-09,8.391107729438822070e-09,2.092824224382638931e-02,2.090009112725965679e-02,1,1,1
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,2.600000000000000000e+01,67108864,1.009217239441812630e+00,1.575208056955323954e-04,1.574792391443313733e-04,1.574729957537490677e-04,4.460371391767247021e+07,4.460371375112378597e+07,4.858695357765447365e-01,subcritical,1.599544591396519103e-04,9.844864382071627507e-01,3.964737288715082574e-05,3.733964511759771154e-09,2.532485367927826189e-09,3.231439590454101562e-01,3.279847428202629089e-01,1,1,1
phase_regimes,0,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,1.000000000000000000e+01,1024,1.029956028185890826e+00,4.138827775451092705e-02,4.139085639820805351e-02,4.139249743693640404e-02,6.811064018785428971e+02,6.811063920961406666e+02,4.594486892857033711e-01,subcritical,4.555666827905174854e-02,9.085936044179475646e-01,3.964580129166492137e-05,1.436251713976581548e-08,3.043109449209194589e-07,1.419312328380328836e-03,1.417067076204148179e-03,1,1,1
phase_regimes,0,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,1.800000000000000000e+01,262144,1.016642237881050459e+00,2.717189172193212876e-03,2.717019891744776317e-03,2.716912173314045553e-03,1.738827956250475836e+05,1.738827950667111145e+05,4.735453530440620895e-01,subcritical,2.828781331143230722e-03,9.604532324228913787e-01,3.964737314249288535e-05,3.210993180192181760e-09,3.002175549070377593e-08,1.966807988355867565e-02,1.991713102324865758e-02,1,1,1
phase_regimes,0,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,2.600000000000000000e+01,67108864,1.011521549302265788e+00,1.716210767085390998e-04,1.716103847431149632e-04,1.715815659475428134e-04,4.456944008222576976e+07,4.456943992728729546e+07,4.811083775346077784e-01,subcritical,1.763520518064032783e-04,9.729490765205417446e-01,1.679597421378029758e-04,3.476338822078480019e-09,1.703524695325320678e-09,3.057980909943580627e-01,3.031917214393615723e-01,1,1,1
phase_regimes,0,4,2,5.999999999999999778e-01,4.152787295564890901e-01,2.491672377338934319e-01,1.000000000000000000e+01,1024,1.035947233823068858e+00,4.448418130623454925e-02,4.448140994889315802e-02,4.447964644775315168e-02,6.791596634234314251e+02,6.791596539601772520e+02,4.490710869116640303e-01,subcritical,5.135228802059612491e-02,8.661667894897588926e-01,3.964737314352960625e-05,1.393376964899143631e-08,3.935403564441589145e-07,1.392395029711224197e-03,1.389242165600990120e-03,1,1,1
phase_regimes,0,4,2,5.999999999999999778e-01,4.152787295564890901e-01,2.491672377338934319e-01,1.800000000000000000e+01,262144,1.019970685457260551e+00,2.976240370833327376e-03,2.976054951536855064e-03,2.975936963453662543e-03,1.736814626991680998e+05,1.736814621182179253e+05,4.662466842877689421e-01,subcritical,3.184603351079017680e-03,9.344764905950833089e-01,3.964737312701445600e-05,3.344917571486399922e-09,5.306234805059524732e-09,1.867918379139155149e-02,1.869428332429379225e-02,1,1,1
