dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,radial_order,angular_order,state_bins,gamma,delta,beta,objective,derivative_logdelta,derivative_scaled,neighbor_left,neighbor_right,H_constant,scale_type,theory_scale,collapse_ratio,row_error,steps,evaluations,cgal_version
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,1.800000000000000000e+01,262144,1.013313790304840367e+00,128,32,33,9.974960074012851896e-01,2.503992598714810391e-03,4.800863325941088777e-01,1.740840075190190692e+05,9.981085895560681820e-04,5.733488123238560700e-09,2.088060599635355175e-02,2.095083301537670195e-02,2.477988710408161044e-01,subcritical,2.564491527465516483e-03,9.764089964412956402e-01,3.996802888650563546e-15,262144,30,6.1.1-I-900
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,1.800000000000000000e+01,262144,1.013313790304840367e+00,256,64,65,9.974961633996214383e-01,2.503836600378561705e-03,4.800913260646042513e-01,1.740840044050996657e+05,-5.432586476672440767e-03,3.120669526897266692e-08,2.100764130591414869e-02,2.082060708198696375e-02,2.477953179911326909e-01,subcritical,2.564473141993391710e-03,9.763551660487671535e-01,3.819167204710538499e-14,262144,30,6.1.1-I-900
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,1.800000000000000000e+01,262144,1.013313790304840367e+00,512,128,129,9.974960641290774310e-01,2.503935870922568974e-03,4.800881484015617762e-01,1.740840038659863058e+05,-1.460757630411535501e-03,8.391107729438822070e-09,2.092824224382638931e-02,2.090009112725965679e-02,2.477948782161624730e-01,subcritical,2.564470866341839531e-03,9.763947423954859595e-01,5.351274978693254525e-14,262144,30,6.1.1-I-900
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,2.600000000000000000e+01,67108864,1.009217239441812630e+00,128,32,33,9.998424791943044676e-01,1.575208056955323954e-04,4.858526916925982042e-01,4.460371586812067032e+07,1.770071685314178467e-01,3.968439962598027713e-09,3.217680454254150391e-01,3.292510956525802612e-01,2.467951334969455401e-01,subcritical,1.599557734192782836e-04,9.847772439112696397e-01,4.996003610813204432e-15,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,2.600000000000000000e+01,67108864,1.009217239441812630e+00,256,64,65,9.998425207608556686e-01,1.574792391443313733e-04,4.858673358559916222e-01,4.460371391767247021e+07,6.442703306674957275e-02,1.444432030607722245e-09,3.241183683276176453e-01,3.270084857940673828e-01,2.467915259517383109e-01,subcritical,1.599546043326266053e-04,9.845245768408911191e-01,6.172840016915870365e-14,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,2.600000000000000000e+01,67108864,1.009217239441812630e+00,512,128,129,9.998425270042462509e-01,1.574729957537490677e-04,4.858695357765447365e-01,4.460371375112378597e+07,1.129582524299621582e-01,2.532485367927826189e-09,3.231439590454101562e-01,3.279847428202629089e-01,2.467910779198774496e-01,subcritical,1.599544591396519103e-04,9.844864382071627507e-01,6.150635556423367234e-14,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,1.000000000000000000e+01,1024,1.029956028185890826e+00,128,32,33,9.586117222454890729e-01,4.138827775451092705e-02,4.594633973260678905e-01,6.811065150917133906e+02,-9.678530261680862168e-04,1.421000981084083998e-06,1.434508770330467087e-03,1.401837921662263398e-03,2.518786250692455764e-01,subcritical,4.555700715222379266e-02,9.084942216730017561e-01,7.771561172376095783e-15,1024,30,6.1.1-I-900
phase_regimes,0,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,1.000000000000000000e+01,1024,1.029956028185890826e+00,256,64,65,9.586091436017919465e-01,4.139085639820805351e-02,4.594544090791785051e-01,6.811064018785428971e+02,-4.908218329546798486e-04,7.206243130309099579e-07,1.424968096216616686e-03,1.411379428873260622e-03,2.518752855970204929e-01,subcritical,4.555670514790669673e-02,9.085568472045204569e-01,3.252953462151708663e-14,1024,30,6.1.1-I-900
phase_regimes,0,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,1.000000000000000000e+01,1024,1.029956028185890826e+00,512,128,129,9.586075025630635960e-01,4.139249743693640404e-02,4.594486892857033711e-01,6.811063920961406666e+02,-2.072681297704548342e-04,3.043109449209194589e-07,1.419312328380328836e-03,1.417067076204148179e-03,2.518748779139108329e-01,subcritical,4.555666827905174854e-02,9.085936044179475646e-01,2.975397705995419528e-14,1024,30,6.1.1-I-900
phase_regimes,0,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,1.800000000000000000e+01,262144,1.016642237881050459e+00,128,32,33,9.972828108278067871e-01,2.717189172193212876e-03,4.735371819105266833e-01,1.738827988162199908e+05,1.607145532034337521e-02,9.242694176627326136e-08,1.945285181864164770e-02,2.013598638586699963e-02,2.486145544103074423e-01,subcritical,2.828803760705792588e-03,9.605435378505253752e-01,4.551914400963141816e-15,262144,30,6.1.1-I-900
